State,NCESID,District,Included in national analysis,Included in nonwhite & white analysis,Included in nonwhite pov & white pov analysis,Racial concentration,Poverty,Urbanicity,Enrollment,Percent Nonwhite,Percent White,Student poverty rate,"State and local revenue, per pupil, cost adjusted","Local revenue, per pupil, cost adjusted","State revenue, per pupil, cost adjusted","State and local revenue, cost adjusted","Local revenue, cost adjusted","State revenue, cost adjusted",Median household income,Median property value
Connecticut,903180,Old Saybrook School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,337",17%,83%,8%,"$17,040.00","$14,453.00","$2,587.00","$22,783,033.00","$19,323,574.00","$3,459,459.00","$75,237.00","$373,600.00"
Connecticut,903210,Orange School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,176",22%,78%,5%,"$15,475.00","$12,611.00","$2,864.00","$18,198,359.00","$14,829,978.00","$3,368,382.00","$106,475.00","$382,300.00"
Connecticut,903240,Oxford School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,959",12%,88%,6%,"$13,572.00","$10,164.00","$3,408.00","$26,586,875.00","$19,910,515.00","$6,676,361.00","$99,311.00","$346,500.00"
Connecticut,903270,Plainfield School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"2,311",11%,89%,12%,"$14,007.00","$6,661.00","$7,346.00","$32,369,755.00","$15,394,299.00","$16,975,455.00","$65,254.00","$169,900.00"
Connecticut,903300,Plainville School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,390",27%,73%,13%,"$14,394.00","$8,517.00","$5,878.00","$34,401,773.00","$20,354,505.00","$14,047,267.00","$61,907.00","$204,000.00"
Connecticut,903330,Plymouth School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,509",11%,89%,8%,"$14,099.00","$7,028.00","$7,071.00","$21,275,208.00","$10,605,762.00","$10,669,447.00","$70,635.00","$188,900.00"
Connecticut,903360,Pomfret School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,400,9%,91%,4%,"$22,639.00","$13,426.00","$9,212.00","$9,055,424.00","$5,370,546.00","$3,684,877.00","$88,906.00","$273,900.00"
Connecticut,903390,Portland School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,352",19%,81%,5%,"$13,881.00","$9,525.00","$4,356.00","$18,767,267.00","$12,877,628.00","$5,889,640.00","$81,589.00","$244,500.00"
Connecticut,903420,Preston School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,438,19%,81%,10%,"$23,055.00","$14,777.00","$8,278.00","$10,098,009.00","$6,472,435.00","$3,625,574.00","$69,439.00","$249,500.00"
Connecticut,903480,Putnam School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,179",17%,83%,14%,"$15,004.00","$5,931.00","$9,073.00","$17,689,628.00","$6,992,874.00","$10,696,754.00","$52,224.00","$182,800.00"
Connecticut,903510,Redding School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,953,15%,85%,3%,"$19,638.00","$16,698.00","$2,940.00","$18,715,181.00","$15,913,649.00","$2,801,532.00","$129,643.00","$603,300.00"
Connecticut,903600,Regional High School District 01,yes,yes,no,Concentrated white,low poverty,42-Rural: Distant,440,11%,89%,5%,"$21,285.00","$17,820.00","$3,465.00","$9,365,428.00","$7,840,788.00","$1,524,640.00","$73,956.00","$327,000.00"
Connecticut,903630,Regional High School District 04,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,920,11%,89%,5%,"$16,839.00","$14,827.00","$2,012.00","$15,491,742.00","$13,640,390.00","$1,851,351.00","$81,698.00","$330,100.00"
Connecticut,903660,Regional High School District 05,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"2,244",21%,79%,3%,"$17,137.00","$15,024.00","$2,114.00","$38,456,376.00","$33,712,901.00","$4,743,475.00","$114,646.00","$395,600.00"
Connecticut,903720,Regional High School District 07,yes,yes,no,Concentrated white,low poverty,31-Town: Fringe,"1,085",3%,97%,3%,"$15,868.00","$13,828.00","$2,040.00","$17,216,831.00","$15,003,791.00","$2,213,040.00","$92,153.00","$281,000.00"
Connecticut,903750,Regional High School District 08,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"1,590",5%,95%,2%,"$15,517.00","$13,761.00","$1,756.00","$24,671,779.00","$21,880,368.00","$2,791,411.00","$104,318.00","$296,600.00"
Connecticut,903780,Regional High School District 09,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"1,008",13%,87%,3%,"$18,804.00","$16,394.00","$2,410.00","$18,954,039.00","$16,525,070.00","$2,428,969.00","$132,700.00","$615,600.00"
Connecticut,903570,Regional High School District 11,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,245,16%,84%,7%,"$23,207.00","$20,870.00","$2,337.00","$5,685,669.00","$5,113,222.00","$572,447.00","$77,338.00","$216,900.00"
Connecticut,900005,Regional High School District 19,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,206",17%,83%,6%,"$15,880.00","$13,619.00","$2,261.00","$19,151,074.00","$16,424,847.00","$2,726,227.00","$68,912.00","$233,900.00"
Connecticut,903515,Regional School District 06,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,983,8%,92%,4%,"$16,172.00","$13,120.00","$3,052.00","$15,896,892.00","$12,896,892.00","$3,000,000.00","$91,341.00","$357,800.00"
Connecticut,903520,Regional School District 10,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"2,405",6%,94%,4%,"$13,675.00","$9,513.00","$4,162.00","$32,889,217.00","$22,878,877.00","$10,010,340.00","$109,631.00","$303,300.00"
Connecticut,903530,Regional School District 12,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,728,11%,89%,4%,"$25,388.00","$22,186.00","$3,201.00","$18,482,183.00","$16,151,630.00","$2,330,553.00","$93,028.00","$519,000.00"
Connecticut,903535,Regional School District 13,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"1,743",11%,89%,4%,"$18,400.00","$13,648.00","$4,752.00","$32,070,571.00","$23,788,288.00","$8,282,282.00","$110,409.00","$331,700.00"
Connecticut,903536,Regional School District 14,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"1,762",7%,93%,5%,"$15,956.00","$12,458.00","$3,498.00","$28,114,481.00","$21,951,478.00","$6,163,002.00","$81,061.00","$337,100.00"
Connecticut,903537,Regional School District 15,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"3,766",13%,87%,4%,"$15,231.00","$12,468.00","$2,763.00","$57,358,688.00","$46,953,020.00","$10,405,667.00","$89,465.00","$331,000.00"
Connecticut,903538,Regional School District 16,yes,yes,no,Concentrated white,low poverty,22-Suburb: Mid-size,"2,259",10%,90%,4%,"$14,266.00","$9,262.00","$5,004.00","$32,225,951.00","$20,922,446.00","$11,303,505.00","$95,350.00","$271,000.00"
Connecticut,903539,Regional School District 17,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"2,118",7%,93%,3%,"$16,327.00","$12,888.00","$3,439.00","$34,580,330.00","$27,295,796.00","$7,284,535.00","$101,875.00","$335,200.00"
Connecticut,903540,Regional School District 18,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"1,331",10%,90%,4%,"$20,846.00","$18,081.00","$2,765.00","$27,746,554.00","$24,065,850.00","$3,680,704.00","$88,143.00","$420,700.00"
Connecticut,903810,Ridgefield School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"5,036",16%,84%,2%,"$14,428.00","$12,283.00","$2,145.00","$72,658,774.00","$61,856,546.00","$10,802,228.00","$145,014.00","$673,900.00"
Connecticut,903840,Rocky Hill School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"2,603",38%,62%,7%,"$14,227.00","$11,280.00","$2,946.00","$37,031,758.00","$29,362,629.00","$7,669,129.00","$81,988.00","$254,400.00"
Connecticut,903900,Salem School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,376,14%,86%,6%,"$24,865.00","$16,059.00","$8,806.00","$9,349,158.00","$6,038,285.00","$3,310,873.00","$104,732.00","$268,700.00"
Connecticut,903930,Salisbury School District,yes,yes,no,Concentrated white,low poverty,42-Rural: Distant,274,19%,81%,4%,"$20,985.00","$18,259.00","$2,725.00","$5,749,810.00","$5,003,033.00","$746,778.00","$74,853.00","$433,800.00"
Connecticut,903960,Scotland School District,yes,yes,no,Concentrated white,low poverty,42-Rural: Distant,119,15%,85%,9%,"$21,883.00","$8,703.00","$13,181.00","$2,604,117.00","$1,035,629.00","$1,568,488.00","$86,397.00","$240,600.00"
Connecticut,903990,Seymour School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"2,204",21%,79%,8%,"$14,131.00","$8,818.00","$5,313.00","$31,145,414.00","$19,434,750.00","$11,710,664.00","$79,734.00","$255,800.00"
Connecticut,904020,Sharon School District,yes,yes,no,Concentrated white,low poverty,42-Rural: Distant,160,9%,91%,16%,"$26,824.00","$23,157.00","$3,668.00","$4,291,888.00","$3,705,080.00","$586,808.00","$82,714.00","$385,500.00"
Connecticut,904050,Shelton School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"4,906",26%,74%,6%,"$12,793.00","$10,389.00","$2,404.00","$62,762,535.00","$50,967,967.00","$11,794,568.00","$87,277.00","$338,200.00"
Connecticut,904080,Sherman School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,333,7%,93%,4%,"$21,604.00","$19,204.00","$2,401.00","$7,194,290.00","$6,394,847.00","$799,443.00","$111,667.00","$472,000.00"
Connecticut,904110,Simsbury School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"4,159",20%,80%,3%,"$14,789.00","$11,635.00","$3,154.00","$61,507,386.00","$48,390,694.00","$13,116,691.00","$110,099.00","$328,600.00"
Connecticut,904140,Somers School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"1,429",9%,91%,4%,"$13,593.00","$8,458.00","$5,135.00","$19,424,080.00","$12,086,656.00","$7,337,423.00","$94,765.00","$306,700.00"
Connecticut,904170,South Windsor School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"4,128",34%,66%,4%,"$15,606.00","$11,092.00","$4,514.00","$64,422,452.00","$45,789,513.00","$18,632,939.00","$100,122.00","$276,200.00"
Connecticut,904230,Southington School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"6,549",16%,84%,5%,"$12,400.00","$8,345.00","$4,056.00","$81,208,272.00","$54,648,449.00","$26,559,823.00","$88,214.00","$267,800.00"
Connecticut,904260,Sprague School District,yes,no,no,Not concentrated,low poverty,22-Suburb: Mid-size,360,26%,74%,15%,"$14,614.00","$7,019.00","$7,595.00","$5,261,103.00","$2,526,799.00","$2,734,303.00","$65,861.00","$227,700.00"
Connecticut,904290,Stafford School District,yes,yes,no,Concentrated white,low poverty,31-Town: Fringe,"1,534",11%,89%,9%,"$16,636.00","$9,340.00","$7,296.00","$25,519,939.00","$14,328,221.00","$11,191,718.00","$63,681.00","$193,400.00"
Connecticut,904320,Stamford School District,yes,no,no,Not concentrated,low poverty,12-City: Mid-size,"15,860",68%,32%,12%,"$14,782.00","$11,711.00","$3,071.00","$234,448,468.00","$185,742,340.00","$48,706,128.00","$81,634.00","$504,200.00"
Connecticut,904350,Sterling School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,447,11%,89%,7%,"$17,158.00","$9,145.00","$8,013.00","$7,669,834.00","$4,087,886.00","$3,581,948.00","$68,776.00","$196,600.00"
Connecticut,904380,Stonington School District,yes,yes,no,Concentrated white,low poverty,22-Suburb: Mid-size,"2,151",11%,89%,11%,"$15,783.00","$13,063.00","$2,720.00","$33,948,698.00","$28,098,775.00","$5,849,923.00","$78,274.00","$315,300.00"
Connecticut,904440,Stratford School District,yes,no,no,Not concentrated,low poverty,13-City: Small,"6,846",56%,44%,10%,"$12,959.00","$9,006.00","$3,953.00","$88,715,181.00","$61,655,292.00","$27,059,889.00","$69,336.00","$249,600.00"
Connecticut,904470,Suffield School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"2,353",15%,85%,11%,"$13,925.00","$9,656.00","$4,269.00","$32,765,140.00","$22,720,089.00","$10,045,052.00","$99,098.00","$295,200.00"
Connecticut,904500,Thomaston School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,894,7%,93%,6%,"$15,630.00","$8,608.00","$7,023.00","$13,973,465.00","$7,695,224.00","$6,278,241.00","$65,901.00","$205,100.00"
Connecticut,904530,Thompson School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,995,10%,90%,8%,"$16,808.00","$8,423.00","$8,385.00","$16,723,674.00","$8,380,839.00","$8,342,835.00","$68,869.00","$195,700.00"
Connecticut,904560,Tolland School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"2,577",9%,91%,2%,"$14,386.00","$9,221.00","$5,165.00","$37,072,086.00","$23,761,503.00","$13,310,583.00","$109,382.00","$277,900.00"
Connecticut,904590,Torrington School District,yes,no,no,Not concentrated,low poverty,31-Town: Fringe,"4,156",33%,67%,13%,"$15,065.00","$8,416.00","$6,650.00","$62,611,827.00","$34,975,739.00","$27,636,088.00","$58,717.00","$162,300.00"
Connecticut,904620,Trumbull School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"6,666",23%,77%,3%,"$13,273.00","$11,152.00","$2,122.00","$88,478,412.00","$74,336,351.00","$14,142,061.00","$112,674.00","$392,800.00"
Connecticut,904650,Union School District,yes,yes,no,Concentrated white,low poverty,42-Rural: Distant,80,5%,95%,5%,"$23,073.00","$18,932.00","$4,141.00","$1,845,859.00","$1,514,571.00","$331,288.00","$88,125.00","$275,000.00"
Connecticut,904680,Vernon School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,179",37%,63%,13%,"$15,569.00","$8,618.00","$6,951.00","$49,492,331.00","$27,396,472.00","$22,095,859.00","$61,099.00","$205,900.00"
Connecticut,904710,Voluntown School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,296,12%,88%,6%,"$21,121.00","$11,884.00","$9,238.00","$6,251,914.00","$3,517,611.00","$2,734,303.00","$81,023.00","$229,100.00"
Connecticut,904740,Wallingford School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"5,988",25%,75%,6%,"$15,526.00","$10,671.00","$4,855.00","$92,970,172.00","$63,897,837.00","$29,072,334.00","$75,942.00","$264,800.00"
Connecticut,904830,Waterbury School District,yes,yes,no,Concentrated nonwhite,high poverty,22-Suburb: Mid-size,"18,765",81%,19%,28%,"$11,938.00","$4,045.00","$7,893.00","$224,023,117.00","$75,909,769.00","$148,113,348.00","$39,681.00","$129,500.00"
Connecticut,904860,Waterford School District,yes,yes,no,Concentrated white,low poverty,22-Suburb: Mid-size,"2,511",21%,79%,7%,"$18,615.00","$16,069.00","$2,547.00","$46,743,492.00","$40,348,392.00","$6,395,100.00","$78,382.00","$253,800.00"
Connecticut,904890,Watertown School District,yes,yes,no,Concentrated white,low poverty,22-Suburb: Mid-size,"2,811",14%,86%,5%,"$14,058.00","$9,122.00","$4,936.00","$39,517,058.00","$25,640,637.00","$13,876,422.00","$76,175.00","$241,100.00"
Connecticut,904920,West Hartford School District,yes,no,no,Not concentrated,low poverty,13-City: Small,"9,703",41%,59%,8%,"$13,802.00","$10,273.00","$3,529.00","$133,918,021.00","$99,680,207.00","$34,237,814.00","$91,875.00","$318,800.00"
Connecticut,904950,West Haven School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"5,755",65%,35%,18%,"$14,325.00","$6,163.00","$8,161.00","$82,439,224.00","$35,470,544.00","$46,968,680.00","$50,831.00","$193,800.00"
Connecticut,904980,Westbrook School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,775,18%,82%,7%,"$21,156.00","$18,596.00","$2,559.00","$16,395,646.00","$14,412,162.00","$1,983,483.00","$92,721.00","$374,000.00"
Connecticut,905010,Weston School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"2,399",14%,86%,3%,"$18,389.00","$16,017.00","$2,372.00","$44,114,903.00","$38,424,791.00","$5,690,111.00","$218,152.00","$857,700.00"
Connecticut,905040,Westport School District,yes,yes,no,Concentrated white,low poverty,21-Suburb: Large,"5,692",16%,84%,3%,"$16,188.00","$13,940.00","$2,248.00","$92,141,365.00","$79,348,189.00","$12,793,175.00","$166,307.00","$1,087,700.00"
Connecticut,905070,Wethersfield School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,620",26%,74%,6%,"$14,843.00","$10,872.00","$3,971.00","$53,731,905.00","$39,358,198.00","$14,373,708.00","$78,371.00","$246,200.00"
Connecticut,905100,Willington School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,434,9%,91%,12%,"$16,636.00","$8,026.00","$8,611.00","$7,220,092.00","$3,483,129.00","$3,736,963.00","$72,237.00","$228,800.00"
Connecticut,905130,Wilton School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,"4,140",16%,84%,3%,"$16,830.00","$14,554.00","$2,277.00","$69,676,880.00","$60,252,089.00","$9,424,791.00","$179,844.00","$812,100.00"
Connecticut,905160,Winchester School District,yes,yes,no,Concentrated white,low poverty,31-Town: Fringe,557,20%,80%,13%,"$31,486.00","$15,204.00","$16,282.00","$17,537,528.00","$8,468,537.00","$9,068,992.00","$57,429.00","$171,500.00"
Connecticut,905190,Windham School District,yes,yes,no,Concentrated nonwhite,high poverty,31-Town: Fringe,"3,267",75%,25%,25%,"$15,959.00","$5,459.00","$10,500.00","$52,139,351.00","$17,835,313.00","$34,304,038.00","$40,603.00","$158,900.00"
Connecticut,905250,Windsor Locks School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"1,630",37%,63%,11%,"$17,087.00","$12,019.00","$5,068.00","$27,851,551.00","$19,590,842.00","$8,260,709.00","$66,494.00","$190,700.00"
Connecticut,905220,Windsor School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"3,184",72%,28%,9%,"$18,644.00","$13,274.00","$5,371.00","$59,363,368.00","$42,263,663.00","$17,099,705.00","$82,707.00","$217,500.00"
Connecticut,905280,Wolcott School District,yes,yes,no,Concentrated white,low poverty,22-Suburb: Mid-size,"2,338",13%,87%,5%,"$13,098.00","$6,955.00","$6,143.00","$30,623,415.00","$16,261,745.00","$14,361,670.00","$83,828.00","$243,400.00"
Connecticut,905310,Woodbridge School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,771,26%,74%,5%,"$16,057.00","$13,479.00","$2,578.00","$12,379,567.00","$10,392,245.00","$1,987,323.00","$136,786.00","$484,300.00"
Connecticut,905370,Woodstock School District,yes,yes,no,Concentrated white,low poverty,41-Rural: Fringe,856,9%,91%,5%,"$18,125.00","$11,225.00","$6,899.00","$15,514,648.00","$9,608,868.00","$5,905,780.00","$84,700.00","$246,600.00"
Delaware,1000080,Appoquinimink School District,yes,no,no,Not concentrated,low poverty,31-Town: Fringe,"10,378",40%,60%,5%,"$11,118.00","$3,563.00","$7,555.00","$115,387,645.00","$36,981,200.00","$78,406,446.00","$96,034.00","$319,300.00"
Delaware,1001240,Brandywine School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"10,578",52%,48%,13%,"$14,650.00","$6,994.00","$7,656.00","$154,963,295.00","$73,982,990.00","$80,980,304.00","$69,919.00","$271,100.00"
Delaware,1000180,Caesar Rodney School District,yes,no,no,Not concentrated,low poverty,22-Suburb: Mid-size,"7,577",45%,55%,17%,"$12,468.00","$4,059.00","$8,410.00","$94,471,735.00","$30,751,462.00","$63,720,273.00","$61,058.00","$210,400.00"
Delaware,1000170,Cape Henlopen School District,yes,no,no,Not concentrated,low poverty,32-Town: Distant,"5,170",34%,66%,15%,"$20,304.00","$10,118.00","$10,186.00","$104,972,142.00","$52,311,239.00","$52,660,903.00","$64,004.00","$317,400.00"
Delaware,1000190,Capital School District,yes,no,no,Not concentrated,high poverty,13-City: Small,"6,486",68%,32%,24%,"$14,495.00","$3,970.00","$10,525.00","$94,016,569.00","$25,748,538.00","$68,268,031.00","$50,562.00","$184,000.00"
Delaware,1000200,Christina School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"15,538",70%,30%,16%,"$15,550.00","$7,987.00","$7,564.00","$241,619,517.00","$124,094,897.00","$117,524,620.00","$59,373.00","$223,000.00"
Delaware,1000230,Colonial School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"9,634",69%,31%,16%,"$12,749.00","$5,025.00","$7,724.00","$122,820,949.00","$48,408,236.00","$74,412,713.00","$60,955.00","$202,700.00"
Delaware,1000270,Delmar School District,yes,no,no,Not concentrated,low poverty,23-Suburb: Small,"1,345",29%,71%,15%,"$11,105.00","$2,833.00","$8,273.00","$14,936,599.00","$3,809,798.00","$11,126,801.00","$46,319.00","$167,600.00"
Delaware,1000680,Indian River School District,yes,no,no,Not concentrated,low poverty,32-Town: Distant,"10,122",49%,51%,19%,"$13,608.00","$5,313.00","$8,295.00","$137,738,713.00","$53,780,019.00","$83,958,694.00","$54,597.00","$242,200.00"
Delaware,1000790,Lake Forest School District,yes,no,no,Not concentrated,high poverty,41-Rural: Fringe,"3,744",36%,64%,21%,"$12,706.00","$2,973.00","$9,734.00","$47,573,099.00","$11,129,630.00","$36,443,470.00","$52,979.00","$195,500.00"
Delaware,1000810,Laurel School District,yes,no,no,Not concentrated,high poverty,23-Suburb: Small,"2,221",48%,52%,21%,"$11,794.00","$3,077.00","$8,716.00","$26,194,044.00","$6,834,774.00","$19,359,270.00","$47,662.00","$170,200.00"
Delaware,1001080,Milford School District,yes,no,no,Not concentrated,high poverty,31-Town: Fringe,"3,981",49%,51%,22%,"$11,908.00","$2,686.00","$9,222.00","$47,404,419.00","$10,691,643.00","$36,712,776.00","$53,592.00","$195,400.00"
Delaware,1001300,Red Clay Consolidated School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"16,009",58%,42%,16%,"$14,420.00","$7,108.00","$7,312.00","$230,844,226.00","$113,787,825.00","$117,056,401.00","$65,243.00","$245,100.00"
Delaware,1001530,Seaford School District,yes,no,no,Not concentrated,high poverty,23-Suburb: Small,"3,411",59%,41%,23%,"$12,524.00","$2,623.00","$9,901.00","$42,720,461.00","$8,948,127.00","$33,772,334.00","$49,924.00","$174,600.00"
Delaware,1001620,Smyrna School District,yes,no,no,Not concentrated,low poverty,41-Rural: Fringe,"5,229",38%,62%,13%,"$12,218.00","$3,059.00","$9,159.00","$63,887,914.00","$15,994,152.00","$47,893,762.00","$59,654.00","$224,200.00"
Delaware,1001850,Woodbridge School District,yes,no,no,Not concentrated,high poverty,41-Rural: Fringe,"2,466",52%,48%,24%,"$13,435.00","$3,467.00","$9,968.00","$33,130,644.00","$8,548,511.00","$24,582,133.00","$47,572.00","$194,200.00"
District of Columbia,1100030,District of Columbia Public Schools,yes,no,no,Concentrated nonwhite,high poverty,11-City: Large,"48,336",87%,13%,28%,"$16,636.00","$16,636.00", $	-   ,"$804,104,723.00","$804,104,723.00", $	-   ,"$72,935.00","$506,100.00"
Florida,1200030,Alachua County School District,yes,no,no,Not concentrated,high poverty,12-City: Mid-size,"29,305",56%,44%,22%,"$8,172.00","$4,010.00","$4,162.00","$239,490,215.00","$117,508,806.00","$121,981,409.00","$44,702.00","$165,700.00"
Florida,1200060,Baker County School District,yes,yes,no,Concentrated white,high poverty,32-Town: Distant,"5,002",18%,82%,22%,"$7,870.00","$1,572.00","$6,298.00","$39,365,828.00","$7,862,683.00","$31,503,145.00","$53,327.00","$108,600.00"
Florida,1200090,Bay County School District,yes,no,no,Not concentrated,high poverty,22-Suburb: Mid-size,"27,781",31%,69%,22%,"$8,840.00","$4,993.00","$3,847.00","$245,584,813.00","$138,723,866.00","$106,860,947.00","$48,577.00","$162,500.00"
Florida,1200120,Bradford County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"3,206",28%,72%,24%,"$8,652.00","$2,824.00","$5,828.00","$27,737,113.00","$9,053,608.00","$18,683,505.00","$43,373.00","$92,000.00"
Florida,1200150,Brevard County School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"72,704",38%,62%,19%,"$8,559.00","$4,218.00","$4,341.00","$622,259,653.00","$306,639,961.00","$315,619,691.00","$49,914.00","$150,500.00"
Florida,1200180,Broward County School District,yes,yes,no,Concentrated nonwhite,low poverty,21-Suburb: Large,"269,098",78%,22%,17%,"$7,789.00","$4,472.00","$3,317.00","$2,095,938,013.00","$1,203,467,639.00","$892,470,374.00","$52,954.00","$202,300.00"
Florida,1200210,Calhoun County School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"2,204",23%,77%,28%,"$9,455.00","$2,341.00","$7,114.00","$20,838,675.00","$5,159,188.00","$15,679,487.00","$37,089.00","$80,300.00"
Florida,1200240,Charlotte County School District,yes,no,no,Not concentrated,high poverty,22-Suburb: Mid-size,"16,061",30%,70%,21%,"$9,055.00","$7,039.00","$2,016.00","$145,438,057.00","$113,057,483.00","$32,380,575.00","$44,865.00","$154,400.00"
Florida,1200270,Citrus County School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"15,250",18%,82%,27%,"$8,306.00","$4,526.00","$3,780.00","$126,669,679.00","$69,017,068.00","$57,652,610.00","$39,054.00","$114,300.00"
Florida,1200300,Clay County School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"36,638",33%,67%,12%,"$8,050.00","$2,559.00","$5,491.00","$294,946,215.00","$93,754,980.00","$201,191,235.00","$59,179.00","$157,600.00"
Florida,1200330,Collier County School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"45,994",64%,36%,17%,"$10,063.00","$8,487.00","$1,575.00","$462,816,382.00","$390,373,537.00","$72,442,844.00","$59,783.00","$291,900.00"
Florida,1200360,Columbia County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"10,175",34%,66%,22%,"$7,963.00","$2,193.00","$5,770.00","$81,025,907.00","$22,312,953.00","$58,712,953.00","$42,848.00","$105,100.00"
Florida,1200390,Dade County School District,yes,yes,yes,Concentrated nonwhite,high poverty,21-Suburb: Large,"357,579",93%,7%,24%,"$7,974.00","$5,252.00","$2,722.00","$2,851,304,745.00","$1,877,957,117.00","$973,347,628.00","$44,224.00","$221,100.00"
Florida,1200420,Desoto County School District,yes,no,no,Not concentrated,high poverty,32-Town: Distant,"4,857",60%,40%,37%,"$8,669.00","$2,718.00","$5,951.00","$42,103,037.00","$13,199,566.00","$28,903,471.00","$35,513.00","$82,300.00"
Florida,1200450,Dixie County School District,yes,yes,no,Concentrated white,high poverty,33-Town: Remote,"2,120",15%,85%,32%,"$8,679.00","$2,259.00","$6,420.00","$18,398,930.00","$4,789,305.00","$13,609,626.00","$34,634.00","$69,600.00"
Florida,1200480,Duval County School District,yes,no,no,Not concentrated,low poverty,11-City: Large,"129,192",64%,36%,20%,"$7,657.00","$3,419.00","$4,238.00","$989,223,164.00","$441,749,529.00","$547,473,635.00","$49,196.00","$146,400.00"
Florida,1200510,Escambia County School District,yes,no,no,Not concentrated,high poverty,21-Suburb: Large,"40,655",51%,49%,23%,"$8,181.00","$3,610.00","$4,571.00","$332,604,902.00","$146,776,471.00","$185,828,431.00","$46,117.00","$121,800.00"
Florida,1200540,Flagler County School District,yes,no,no,Not concentrated,low poverty,21-Suburb: Large,"12,934",37%,63%,17%,"$8,854.00","$5,432.00","$3,422.00","$114,515,091.00","$70,256,539.00","$44,258,551.00","$48,898.00","$174,700.00"
Florida,1200570,Franklin County School District,yes,yes,no,Concentrated white,high poverty,41-Rural: Fringe,"1,288",22%,78%,34%,"$10,706.00","$8,760.00","$1,946.00","$13,789,311.00","$11,282,631.00","$2,506,680.00","$40,301.00","$124,500.00"
